Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions
170	Alpha Team / Mission Deep Sea	4800-1	Alpha Team Jet Sub	2002	6	9.5 x 14.3 x 3.8
65	Star Wars / Star Wars Episode 2	7153-1	Jango Fett's Slave I	2002	120	28.6 x 38.3 x 7
277	Legoland / Airport	657-1	Executive Jet	1974	3.4	? x ? x ?
388	Building Set with People / Airport	195-1	Airplane	1975	7	20 x 10 x 5
388	Building Set with People / Airport	213-1	Airplane Ride	1977	3.4	10 x 10 x 4
422	Universal Building Set / Basic	1588-1	Basic Set	1987	?	? x ? x ?
179	Racers / Drome Racers	4592-1	Red Monster	2002	2	9.5 x 3.7 x 14.4
473	Sports / Soccer	3423-1	Freekick Frenzy	2002	16	19.1 x 14.3 x 5.9
65	Star Wars / Star Wars Episode 2	7143-1	Jedi Starfighter	2002	35	28.5 x 19 x 4.6
179	Racers / Drome Racers	8469-1	Slammer Raptor	2002	56.8	23.9 x 14.3 x 5.9
179	Racers / Radio Control	8475-1	RC Race Buggy	2002	166	57.5 x 48 x 7
388	Building Set with People / Gas Station	330-2	Gas Station	1978	?	? x ? x ?
277	Legoland / Construction	1601-1	Conveyance	1976	?	? x ? x ?
277	Legoland / Hospital	363-1	Hospital with Figures	1975	24	30.5 x 20 x 5
469	Spider-Man / Spider-Man 1 / Studios	1376-1	Spider-Man Action Studio	2002	36.2	28.5 x 28.5 x 6
170	Alpha Team / Mission Deep Sea	4794-1	Alpha Team Command Sub	2002	41	28.5 x 28.5 x 5.8
170	Alpha Team / Mission Deep Sea	4799-1	Ogel Drone Octopus	2002	7	9.5 x 14.3 x 3.8
170	Alpha Team / Mission Deep Sea	4790-1	Alpha Team Deep Sea Robot Diver	2002	4.44	9.4 x 9.4 x 4.6
422	Universal Building Set / Basic	1603-1	Trial Size Imagination polybag	1993	?	? x ? x ?
388	Building Set with People / Fire	218-1	Firemen	1977	13.3	? x ? x ?
166	Educational & Dacta / Technic / Supplemental	1039-1	Manual Control Set 1	1986	19	23 x 16.2 x 7.7
277	Legoland / Vehicle / Traffic	656-1	Car and Caravan	1974	3.4	15 x 6.5 x 4
473	Sports / Soccer	3422-1	Shoot 'N Save (non-promo)	2002	32	28.8 x 19.1 x 4.7
179	Racers / Drome Racers	4582-1	Red Bullet	2002	2	9.5 x 14.2 x 4.6
179	Racers / Drome Racers	4584-1	Hot Scorcher	2002	21	? x ? x ?
179	Racers / Drome Racers	8471-1	Nitro Burner	2002	83	? x ? x ?
179	Racers / Drome Racers	8473-1	Nitro Race Team	2002	308.6	47.8 x 28.6 x 5.7
273	Bionicle / Bohrok	8565-1	Kohrak	2002	33.9	10.7 x 9 x 15.8
69	Western / Indians	6763-1	Rapid River Village	2002	71	47.8 x 28.5 x 7
277	Legoland / Airport	1610-2	Martinair Cessna	1978	1.5	? x ? x ?
179	Racers / Drome Racers	8468-1	Power Crusher	2002	53.1	? x ? x ?
